"p_id","wave_id","begin_datetime","end_datetime","age","gend","gend_specify","hispanic","race","race_specify","current_zip","current_lngth","adults","children","ok_lngth","home_lot","concern_water_availability","concern_water_quality","concern_water_cost","concern_land_wildlife","concern_land_soil","concern_infra_electricity","concern_infra_transportation","rank_water_availability","rank_water_quality","rank_water_cost","rank_land_wildlife","rank_land_soil","rank_infra_electricity","rank_infra_transportation","risk_tornado","risk_hail","risk_wind","risk_lightning","risk_flood","risk_snow_ice","experience_tornado","experience_hail","experience_wind","experience_lightning","experience_flood","experience_snow_ice","future_tornado","future_hail","future_wind","future_lightning","future_flood","future_snow_ice","risk_flash_drought","risk_pluvial","risk_heat_wave","risk_cold_spell","experience_flash_drought","experience_pluvial","experience_heat_wave","experience_cold_spell","future_flash_drought","future_pluvial","future_heat_wave","future_cold_spell","risk_long_drought","experience_long_drought","future_long_drought","risk_wildfire","risk_earthquake","experience_wildfire","experience_earthquake","future_wildfire","future_earthquake","s2s_aware","s2s_access","wthr_info_paper","wthr_info_web","wthr_info_govweb","wthr_info_loctv","wthr_info_cabtv","wthr_info_radio","wthr_info_fam","wthr_info_soc","wthr_info_phone","s2s_use","s2s_trust","s2s_reliable","s2s_detail","s2s_access_no_fnd","s2s_access_no_inacc","s2s_access_no_rel","s2s_access_no_int","s2s_access_no_oth","s2s_access_oth_spec","cpc_image_rand","cpc_see","cpc_int_sub","cpc_int_obj","cpc_use","cpc_int_no_why","cpc_use_no_fnd","cpc_access_no_inacc","cpc_access_no_rel","cpc_access_no_int","cpc_access_no_oth","cpc_access_oth_spec","s2s_vote_gov","s2s_bid","s2s_wtp","s2s_wtp_con_yes","s2s_wtp_con_no","s2s_comm_agnst","s2s_comm_unsur","s2s_passed","glbcc","glbcc_cert","glbcc_risk","glbwrm_ok","rate_family","rate_social","rate_health","rate_ment","rate_finances","rate_home_val","rate_savings","rate_environment","rate_roads","sf_pcl_reliving","sf_pcl_avoid_reminders","sf_pcl_distant","sf_pcl_irritable","fut_hlth_srvy","trust_policy","trust_agencies","trust_private","party","party_spec","iden","lean","ideol","vote_loc","talk_politics_friends","talk_politics_strangers","att_politics","role_policy","role_science","role_public","role_business","role_nonprofit","education","inc","income_people","inc50","inc100","inc150","inc200","smartphone","citizen_science","is_fieldphotoinvite","norman_area","cinr_participate","cinr_preference","study_area","region","ocwp_region"
"SSENM1399","S3OK Wave 5 (Spring 2024)",1708526165,1708531033,51,0,NA,0,3,NA,74820,15,5,1,50,3,2,4,4,2,2,2,2,2,1,6,5,3,4,7,4,4,4,4,2,3,0,0,1,1,0,0,3,4,4,4,3,4,3,4,4,4,0,1,0,1,3,4,4,4,3,0,4,3,3,0,1,3,4,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",0,2,4,2,"I'm pretty confident I can understand it just don't know how accurate the forecast will be.",0,1,0,0,0,NA,2,39,NA,NA,NA,"Not sure how much this forecasting is in demand.",NA,2,1,6,7,1,3,3,3,3,3,3,2,3,3,1,3,1,2,1,2,3,3,1,NA,1,NA,5,1,1,1,3,10,"40",10,20,20,6,3,2,NA,NA,12,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","South East","Blue-Boggy"
"SNCPH95","S3OK Wave 5 (Spring 2024)",1708527061,1708528170,56,0,NA,0,1,NA,74631,22,1,4,56,3,1,4,5,3,5,4,2,6,1,5,3,2,7,4,5,5,5,5,3,1,0,0,1,0,0,0,1,3,3,3,1,1,1,1,5,3,1,0,1,0,1,1,5,1,4,0,4,5,3,0,1,5,5,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",1,3,5,1,NA,1,0,0,0,0,NA,5,57,2,NA,NA,NA,"I’m barely making bills now",5,1,5,4,1,5,5,5,2,2,2,1,2,1,1,1,1,1,1,2,3,1,2,NA,1,NA,4,1,3,4,4,0,"0",0,100,0,6,1,1,5,NA,NA,NA,0,0,0,NA,NA,NA,"Outside Little River Watershed","North Central","Upper Arkansas"
"R_0p3ES249w8A066l","S3OK Wave 5 (Spring 2024)",1708527218,1708528851,33,0,NA,0,1,NA,73012,3,2,2,28,2,2,2,4,4,2,3,3,7,5,1,4,6,2,3,4,3,4,2,3,3,0,1,1,1,1,1,3,3,4,3,3,3,2,2,3,2,0,0,0,0,3,3,3,3,2,0,3,3,2,0,1,3,4,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,1,0,0,0,NA,"word",0,3,4,2,NA,0,1,0,0,0,NA,3,79,NA,NA,NA,NA,"I don’t think it’s incredibly necessary, and I think weather forecasts are a little unpredictable. I feel funding could be better spent somewhere else. ",4,0,7,3,0,5,3,3,4,3,3,3,3,3,1,2,2,1,1,3,2,2,2,NA,1,NA,6,1,2,1,2,25,"20",25,10,20,4,1,2,5,NA,NA,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Central"
"FOKCNM2609","S3OK Wave 5 (Spring 2024)",1708527402,1708529077,52,1,NA,0,1,NA,73071,12,2,1,52,2,2,5,4,2,3,5,4,6,2,3,7,5,1,4,3,5,5,4,2,2,0,0,1,0,0,1,3,4,4,3,2,2,3,2,3,2,0,0,0,1,4,3,3,2,3,0,3,4,3,0,1,3,3,1,3,0,0,1,1,0,0,0,0,0,"planning outdoor vacation or preparing for road travel.",3,2,2,0,0,0,0,0,NA,"word",1,4,4,4,NA,0,0,0,0,0,NA,5,17,1,7,NA,NA,NA,5,0,7,3,0,4,3,4,4,3,4,2,4,3,1,1,1,1,1,3,4,3,2,NA,2,NA,6,1,3,1,4,10,"30",20,20,20,6,3,2,NA,NA,12,NA,1,0,0,1,2,0,"Inside Little River Watershed","Oklahoma City","Central"
"R_1IN32CrnFOWipeB","S3OK Wave 5 (Spring 2024)",1708528038,1708529127,44,0,NA,0,1,NA,74959,6,3,0,6,3,2,4,2,4,4,4,5,5,3,7,4,6,2,1,3,3,3,3,4,2,0,1,0,1,1,1,3,3,3,3,4,3,4,2,3,2,1,1,1,1,3,3,3,3,4,0,4,3,2,0,0,3,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",1,3,4,4,NA,0,0,0,0,0,NA,4,16,2,NA,NA,NA,"I think it's important, but our area is very low income and already taxed at a high rate. $16 isn't much until you add in all the other small taxes",4,0,5,5,2,4,3,3,3,3,3,3,2,2,3,4,4,4,1,2,3,2,2,NA,1,NA,5,0,3,1,2,5,"30",50,5,10,2,3,2,NA,NA,11,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","South East","Lower Arkansas"
"R3PAPH38787","S3OK Wave 5 (Spring 2024)",1708528117,1708529057,58,0,NA,0,1,NA,74032,18,3,0,58,3,1,2,2,1,2,2,1,1,3,5,4,7,2,6,3,2,5,3,3,2,0,1,1,1,1,1,3,3,3,3,3,3,2,2,4,2,0,0,1,1,3,3,3,3,2,0,3,3,3,0,1,3,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",0,4,4,2,NA,0,1,0,0,0,NA,2,9,NA,NA,NA,"Don’t think it is that important ",NA,3,0,10,0,0,5,4,4,4,4,3,4,5,2,1,1,2,1,1,2,3,2,2,NA,2,NA,7,1,3,1,4,0,"40",45,10,5,3,1,2,5,NA,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","North Central","Upper Arkansas"
"STUNM3179","S3OK Wave 5 (Spring 2024)",1708529793,1708531365,61,0,NA,0,1,NA,74066,12,2,0,61,1,2,2,2,5,2,4,2,4,3,5,7,2,6,1,4,2,4,2,3,2,0,1,1,1,0,1,4,4,4,3,4,3,3,2,4,2,0,0,0,1,4,2,4,3,4,0,4,4,3,0,1,4,3,1,4,0,0,0,1,0,0,0,0,1,"planning outdoor activities",3,4,4,0,0,0,0,0,NA,"word",1,3,5,4,NA,0,0,0,0,0,NA,4,50,2,NA,NA,NA,"my taxes are so high now


",4,0,5,7,1,3,3,2,4,2,3,1,3,3,1,2,2,1,1,2,3,3,2,NA,1,NA,4,0,3,1,3,10,"50",10,10,20,2,1,1,5,NA,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Middle Arkansas"
"SSE1950","S3OK Wave 5 (Spring 2024)",1708530226,1708530914,34,0,NA,0,3,NA,74462,4,3,2,34,3,4,4,3,3,4,4,4,1,2,5,3,6,4,7,4,4,4,4,3,3,0,1,1,1,0,1,3,3,4,3,4,4,3,3,4,4,0,1,0,1,4,4,3,4,4,0,4,2,2,0,1,3,4,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,1,0,1,0,NA,"word",0,2,4,3,"How do you define above,equal, or below chances? What are they above, equal, or below relevant to?",0,0,0,0,0,NA,4,75,2,NA,NA,NA,"Why would it increase my taxes? I would want to know how accurate those results were before I considered an increase in taxes. For example, if the results were about 85 percent accurate, then maybe but if they were below 85 percent, then no, I would not. ",4,0,0,1,0,3,2,3,3,3,3,2,3,1,1,1,1,2,1,2,3,2,2,NA,1,NA,4,1,3,1,3,0,"10",80,0,10,6,3,2,NA,NA,12,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Lower Arkansas"
"FSWNM2551","S3OK Wave 5 (Spring 2024)",1708530504,1708532094,72,1,NA,0,1,NA,73521,34,2,0,72,3,5,5,5,2,4,4,3,1,2,4,5,6,3,7,4,5,4,4,2,3,0,0,1,0,0,0,3,3,3,3,3,3,4,2,4,3,1,0,0,1,3,3,3,3,4,1,3,3,2,0,0,3,3,1,4,0,0,0,1,1,0,0,0,0,"Working and playing outside ",4,4,4,0,0,0,0,0,NA,"word",1,4,3,4,NA,0,0,0,0,0,NA,4,65,0,NA,4,"Do not  need any more government taxes





",NA,4,0,7,2,0,5,5,4,5,5,5,5,4,3,1,2,1,1,1,2,2,2,2,NA,2,NA,7,1,5,1,4,10,"50",20,10,10,6,3,2,NA,NA,11,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Southwest"
"R3WAPH14717","S3OK Wave 5 (Spring 2024)",1708531321,1708533930,56,1,NA,0,3,NA,73082,15,2,0,56,3,2,2,2,2,2,2,2,1,2,7,6,4,3,5,5,5,5,5,5,5,1,1,1,1,1,0,3,3,3,3,3,3,5,4,5,4,1,1,0,0,3,3,3,3,5,1,3,5,5,0,1,3,3,1,3,0,1,1,1,1,1,1,1,1,"Planting, yard treatment, family activities ",3,4,4,0,0,0,0,0,NA,"percent",1,4,4,4,NA,0,0,0,0,0,NA,4,26,1,8,NA,NA,NA,4,0,8,8,1,4,3,3,3,3,4,3,2,2,3,4,4,3,1,3,3,3,2,NA,2,NA,6,1,3,2,4,20,"30",15,30,5,3,1,2,3,NA,NA,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Lower Washita"
"STUNM3181","S3OK Wave 5 (Spring 2024)",1708531622,1708533818,81,1,NA,0,1,NA,74112,10,1,0,12,2,2,3,3,4,3,3,4,4,1,5,6,7,3,2,5,3,3,3,3,3,0,1,1,1,0,1,4,3,4,3,4,3,4,3,5,3,0,1,1,1,5,4,5,3,4,0,4,3,3,0,1,4,4,1,3,0,1,1,1,0,0,0,0,0,"Planning for yard maintenance; planning for future travel",3,4,3,0,0,0,0,0,NA,"word",2,2,4,3,"Probability highlights are difficult to read ... graphic is small ",0,0,0,0,0,NA,4,62,2,NA,NA,NA,"I live on a very limited income for such expenses",4,1,10,10,1,2,2,5,3,2,NA,1,3,2,2,1,2,1,1,2,3,2,1,NA,2,NA,1,1,4,3,3,2,"50",3,5,40,8,1,1,3,NA,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Tulsa","Middle Arkansas"
"R3CAPH2200","S3OK Wave 5 (Spring 2024)",1708533409,1708535242,68,0,NA,0,1,NA,73772,13,1,0,30,3,2,4,2,2,3,4,3,2,1,3,7,5,4,6,4,4,3,3,3,3,0,0,1,1,0,1,3,3,3,3,3,3,3,3,3,3,0,0,1,1,3,3,3,3,3,0,3,3,2,0,0,3,3,1,3,0,1,0,1,0,1,0,0,1,"so i know if its safe to be out on the roads when i travel for work",3,4,4,0,0,0,0,0,NA,"word",1,4,5,3,NA,0,0,0,0,0,NA,3,62,NA,NA,NA,NA,"i'm not sure what the gov can tell me that i would believe, the gov has proved to be not trustworthy lately",3,0,10,0,0,5,5,5,5,2,NA,2,5,3,1,1,1,1,1,3,3,3,4,"I am Reublican but am disappointed in them as a whole, they are showing very little backbone when it comes to decisions, most should be voted out and we need term limits on all forms of gov",NA,2,7,1,5,1,5,30,"5",30,30,5,5,1,1,3,NA,NA,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","North Central","Central"
"SOKCNM900","S3OK Wave 5 (Spring 2024)",1708534086,1708535944,44,1,NA,1,1,NA,73072,5,3,2,13,3,1,2,2,2,1,1,3,2,3,6,4,5,7,1,3,2,3,2,2,1,0,0,0,0,0,0,3,3,3,3,3,3,2,3,3,2,0,0,0,0,3,3,3,3,3,0,3,3,2,0,0,3,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"word",0,4,4,2,NA,0,0,1,0,1,"If I were a farmer deciding when to plant thiswould be great but I won't make plans based on a chance of something since weather is not a major factor for my job.",4,46,2,NA,NA,NA,"Would need to see some use cases in central OK ",4,1,8,7,2,4,3,3,3,4,4,4,4,3,3,2,2,1,1,2,3,3,2,NA,1,NA,5,1,2,1,3,15,"30",5,20,30,8,4,2,NA,NA,NA,16,1,1,1,1,0,NA,"Outside Little River Watershed","Oklahoma City","Central"
"R3CANM7766","S3OK Wave 5 (Spring 2024)",1708535337,1708536177,65,1,NA,0,1,NA,73801,11,2,0,45,3,3,5,4,5,5,4,5,2,1,6,4,3,7,5,4,3,5,4,3,2,0,0,0,0,0,1,3,3,4,3,3,3,4,3,5,3,0,0,0,0,4,3,4,2,4,0,4,5,5,0,1,4,5,1,5,0,1,1,1,0,1,0,0,1,"Daily activities. ",4,4,4,0,0,0,0,0,NA,"word",1,5,4,4,NA,0,0,0,0,0,NA,5,14,1,10,NA,NA,NA,5,1,10,10,1,4,3,3,4,4,4,4,4,3,1,3,1,1,1,1,4,1,1,NA,2,NA,4,1,3,1,5,0,"75",10,10,5,7,4,2,NA,NA,NA,21,1,1,1,NA,NA,NA,"Outside Little River Watershed","North Central","Panhandle"
"SSWPH2167","S3OK Wave 5 (Spring 2024)",1708535821,1708628900,66,1,NA,0,2,NA,73505,22,2,0,27,3,2,2,4,4,2,2,2,3,4,1,2,7,5,6,4,3,4,3,3,3,0,1,1,0,0,1,3,3,3,3,3,2,3,2,4,3,0,0,0,0,4,3,4,2,4,0,4,4,3,0,0,4,3,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,"percent",0,4,2,2,NA,0,0,0,0,0,"Because I don’t focus on the long term to make decisions.",2,61,NA,NA,NA,"The local weather service reports in time for one to plan.",NA,4,0,8,2,2,4,3,4,4,4,4,4,4,3,1,1,1,3,1,2,3,3,3,NA,NA,2,7,1,3,1,4,30,"10",30,10,20,6,3,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,"Outside Little River Watershed","South West","Beaver-Cache"
"R3KIPH61726","S3OK Wave 5 (Spring 2024)",1708537750,1708539635,73,0,NA,0,1,NA,74957,20,1,0,73,3,4,4,4,2,4,4,2,2,3,1,6,7,4,5,4,3,3,4,2,3,1,0,1,1,0,0,3,3,3,3,3,3,3,4,3,4,0,1,0,1,4,3,4,3,3,0,4,3,4,1,0,4,4,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,0,0,0,0,NA,"word",1,3,3,3,NA,0,0,0,0,0,NA,5,31,2,NA,NA,NA,"We are overrun with high costs on everything",3,0,4,3,2,3,2,3,3,3,NA,2,4,2,2,2,2,2,1,2,3,3,2,NA,2,NA,6,1,3,1,5,25,"5",20,40,10,3,1,1,3,NA,NA,NA,1,0,0,NA,NA,NA,"Outside Little River Watershed","Oklahoma City","Southeast"
